City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
340,Smila,UA,76.39,broken clouds,49.2224,31.8871,Kolo Zhyttya
342,Wewak,PG,77.31,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
343,Dwarka,IN,80.96,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
344,Kouango,CF,72.54,overcast clouds,4.9934,19.9619,
346,Koulikoro,ML,81.63,overcast clouds,14,-7.75,
347,Tautira,PF,76.44,light rain,-17.7333,-149.15,Pension Oaoa
351,Mantua,IT,75.81,overcast clouds,45.1667,10.7833,Hotel la Favorita
352,Yelnya,RU,70.75,few clouds,54.5786,33.1837,Gostinitsa Tsentral'naya
353,Takoradi,GH,78.53,broken clouds,4.8845,-1.7554,Raybow International Hotel
354,Port Blair,IN,81.46,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
356,Kudahuvadhoo,MV,82.17,light rain,2.6708,72.8944,Niyama Private Islands Maldives
361,Bandarbeyla,SO,76.91,scattered clouds,9.4942,50.8122,JABIR HOTEL
364,Iwaki,JP,75.78,clear sky,37.05,140.8833,Toyoko Inn Iwaki Ekimae
365,Ouesso,CG,72.01,overcast clouds,1.6136,16.0517,ABENIE Hotel
366,Natchez,US,87.96,broken clouds,31.5604,-91.4032,Hampton Inn & Suites Natchez
372,Masvingo,ZW,73.29,clear sky,-20.0637,30.8277,River Side Lodge
373,Half Moon Bay,US,74.1,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
380,Bata,GQ,76.64,light rain,1.8639,9.7658,Hotel Elik Melen
382,Vilhena,BR,88.02,smoke,-12.7406,-60.1458,Hotel Mirage
383,San Pedro,PH,79.36,few clouds,14.35,121.0167,Palines Apartment and Guesthouse
384,Anloga,GH,75.45,overcast clouds,5.7947,0.8973,Pin Drop Hotel
385,Nizhniy Baskunchak,RU,88.79,overcast clouds,48.2198,46.8311,Arman hotel
386,Robertsport,LR,78.26,scattered clouds,6.7533,-11.3686,Kwepunha Retreat
389,San Quintin,MX,73.62,overcast clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
392,Benoy,TD,73.26,overcast clouds,8.9833,16.3199,
393,Gushikawa,JP,83.62,broken clouds,26.3544,127.8686,Kirari Guest House
397,Buala,SB,78.75,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
398,Balabac,PH,81.9,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
401,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,hotel la terminal
409,Haverhill,US,80.24,overcast clouds,42.7762,-71.0773,Best Western Merrimack Valley
410,Ca Mau,VN,79.92,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
412,Nurota,UZ,77.85,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
415,Kupang,ID,71.58,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
418,Dhidhdhoo,MV,81.63,broken clouds,6.8833,73.1,Dhidhoo beach
420,Sal,JO,78.42,clear sky,32.5694,35.9119,مضافة الجرادات سال
421,Aksu,CN,75.61,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
422,Konya,TR,80.33,broken clouds,38.1667,32.5,Meydan Ahmet Muhtar
423,Dingle,PH,75.78,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
424,Fort Smith,US,82.35,broken clouds,35.3859,-94.3986,Hampton Inn Fort Smith
427,Bengkulu,ID,75.36,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
429,Mirandela,PT,88.3,clear sky,41.4874,-7.187,Grande Hotel Dom Dinis
430,Nouakchott,MR,85.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN
431,Manado,ID,72.37,scattered clouds,1.487,124.8455,Aryaduta Hotel
432,Tsogni,GA,73.71,broken clouds,-2.7942,10.0988,
433,Sembakung,ID,73.53,overcast clouds,3.8167,117.25,
435,Puerto Escondido,MX,85.68,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
439,Port Hawkesbury,CA,74.89,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
440,Zhicheng,CN,87.51,broken clouds,30.2956,111.5047,Wangjiang Building
441,Scranton,US,81.91,broken clouds,41.409,-75.6624,Radisson Lackawanna Station Hotel Scranton
445,Yuza,JP,71.1,overcast clouds,39,139.9167,Tsuruya
449,Boone,US,82.8,clear sky,39.0334,-92.3335,Cottonwoods RV Park
450,Luoyang,CN,84.51,moderate rain,34.6836,112.4536,易家国际青年旅舍
451,Banjarmasin,ID,77.14,few clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
452,Mulege,MX,88.93,broken clouds,26.8833,-111.9833,Casa Granada
453,Broager,DK,76.66,scattered clouds,54.8874,9.681,Hausboot WELL
454,Ban Nahin,LA,77.27,broken clouds,18.2418,104.2122,
455,Magway,MM,76.95,broken clouds,20.15,94.9167,Htein Htein Thar 2
457,Thanh Hoa,VN,78.51,clear sky,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
458,Huanuco,PE,78.24,scattered clouds,-9.9329,-76.2415,Hostal Miraflores
459,Mlonggo,ID,78.55,clear sky,-6.5333,110.7,Asia Metal Art
460,Himatnagar,IN,78.87,clear sky,23.6,72.95,Hotel Sunrise Grand
465,Ilhabela,BR,84.38,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
466,Inowroclaw,PL,85.62,broken clouds,52.7989,18.2639,Rezydencja Pod Tężnią & Spa
469,Keti Bandar,PK,81.64,overcast clouds,24.1447,67.4497,Haji laloo memon house
471,Nawa,IN,79.99,clear sky,27.0167,75,"Sambharia Bhawan,Kuchaman Road,Nawa City"
477,Middlebury,US,73.71,clear sky,44.0153,-73.1673,Courtyard by Marriott Middlebury
481,Leshukonskoye,RU,71.37,scattered clouds,64.8989,45.7622,Pryalitsa Hostel
484,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
485,Sturgeon Bay,US,78.76,broken clouds,44.8342,-87.377,AmericInn by Wyndham Sturgeon Bay
489,Same,TZ,71.6,overcast clouds,-4.0667,37.7333,Elephant Motel
490,Tomatlan,MX,87.8,broken clouds,19.9333,-105.25,El Salvial
491,Damietta,EG,85.89,clear sky,31.4165,31.8133,SULIMAN INN
495,Athabasca,CA,70.21,clear sky,54.7169,-113.2854,Athabasca Lodge Motel
496,Visby,SE,78.06,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
497,Chisindia,RO,81.46,clear sky,46.2833,22.1,Conacul Legendelor
498,Road Town,VG,87.84,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
499,Cockburn Town,TC,82.94,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
502,Kavieng,PG,81.1,light rain,-2.5744,150.7967,Nusa Island Retreat
504,Gambo,CF,71.29,overcast clouds,4.6482,22.2633,
506,Saint-Pierre,RE,71.29,broken clouds,-21.3393,55.4781,Alize Plage
507,Kalaleh,IR,89.96,scattered clouds,37.3807,55.4916,کلاله
509,Requena,ES,77.52,scattered clouds,39.4883,-1.1004,Hotel Avenida
511,Bafq,IR,85.5,clear sky,31.6128,55.4107,Alamdar Hotel
512,Fare,PF,77.88,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
514,Lamu,KE,74.34,broken clouds,-2.2717,40.902,Lamu House
517,Severodvinsk,RU,77.11,overcast clouds,64.5635,39.8302,Park Hotel
518,Villa Bruzual,VE,89.56,clear sky,9.3328,-69.1208,hotel italia
521,La Colorada,PA,86.43,overcast clouds,8.0167,-80.9833,Bda. Castillos de la Herradura
522,Timizart,DZ,79.2,clear sky,36.8,4.2667,yefssah restaurant
523,Jacqueville,CI,74.66,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
524,Pedernales,DO,85.26,few clouds,18.0384,-71.744,Hotel Costa Marina
525,Nanakuli,US,78.75,few clouds,21.3906,-158.1547,Camp Pālehua
527,Gamba,GA,74.34,scattered clouds,-2.65,10,
530,Pathein,MM,77.05,overcast clouds,16.7833,94.7333,Pathein Hotel
532,Watertown,US,82.6,overcast clouds,42.3709,-71.1828,16 Washburn Street Watertown MA
535,Shelburne,CA,82.76,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
536,Gamboma,CG,81.32,broken clouds,-1.8764,15.8644,Residence N'Keni
537,Coruripe,BR,76.51,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
538,Agucadoura,PT,86.31,clear sky,41.4318,-8.7804,Varzinn Hotel
539,Progreso,MX,78.91,broken clouds,21.2833,-89.6667,Playa Linda Hotel
540,Price,US,80.11,broken clouds,39.5994,-110.8107,National 9 - Price River Inn
542,Kalmunai,LK,80.19,overcast clouds,7.4167,81.8167,VS Villa
544,Southbridge,US,82.06,broken clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
545,Pochutla,MX,86.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
546,Samana,DO,84.42,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
547,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
548,Hambantota,LK,79,overcast clouds,6.1241,81.1185,Bungalow 63
550,Khani,GE,71.17,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
552,Lesnoye,RU,72.32,clear sky,58.2841,35.5158,
553,Santiago De Compostela,ES,76.35,clear sky,42.8805,-8.5457,Hotel Ciudad de Compostela
556,Hami,CN,75.88,clear sky,42.8,93.45,Laoyutang Resort
557,Leh,IN,70.16,clear sky,34.1667,77.5833,Hotel Ladakh Greens
558,Jasper,US,84.67,clear sky,37.2001,-94.3502,Guest House Motel
559,Palmer,US,82.51,overcast clouds,42.1584,-72.3287,Wedgewood Motel
564,Longkou,CN,78.28,overcast clouds,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
567,Currais Novos,BR,82.02,scattered clouds,-6.2608,-36.5178,Sâmily Flat Hotel
568,Mahajanga,MG,75.22,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
570,Yining,CN,82.24,overcast clouds,29.0361,114.5636,Xiushui Hotel
572,Dire Dawa,ET,74.48,light rain,9.5931,41.8661,Samrat Hotel
574,Stege,DK,80.06,broken clouds,54.987,12.2846,Møn Golf Resort - Hotel Præstekilde
575,Aiquile,BO,71.37,clear sky,-18.2041,-65.1807,Hotel Santa Ana
577,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
578,Mascote,BR,82.26,scattered clouds,-15.5631,-39.3025,Fazenda Novo ORIENTE
580,Avera,US,81.91,overcast clouds,33.194,-82.5271,
583,Kaspiyskiy,RU,80.49,clear sky,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
585,Margate,GB,77.88,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
587,Hobyo,SO,76.84,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
588,Fort Payne,US,85.42,scattered clouds,34.4442,-85.7197,"Holiday Inn Express & Suites Fort Payne, an IHG Hotel"
589,Benemerito De Las Americas,MX,82.42,overcast clouds,16.5167,-90.6439,Residencia Univeresitaria
591,Quelimane,MZ,78.75,clear sky,-17.8786,36.8883,Hotel Flamingo
592,Paciran,ID,78.35,clear sky,-6.8767,112.3761,Tanjung Kodok Beach Resort
594,Nachingwea,TZ,72.37,scattered clouds,-10.3833,38.7667,Makoga lodge
595,Coahuayana,MX,90,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
598,Mana,GF,83.19,scattered clouds,5.6592,-53.7767,LE SAMANA
599,Vierzon,FR,83.86,broken clouds,47.2101,2.0625,Arche Hôtel
603,Samdrup Jongkhar,BT,74.16,broken clouds,26.9167,91.6167,
604,Camalu,MX,74.52,overcast clouds,30.85,-116.0667,La Cueva del Pirata
608,Ondjiva,AO,73.81,clear sky,-17.0667,15.7333,COMBUESA
609,Praya,CV,86.54,few clouds,14.9215,-23.5087,LT Aparthotel
610,Burgess Hill,GB,78.12,clear sky,50.9584,-0.1329,The Hickstead
611,Altamira,BR,89.69,few clouds,-3.2033,-52.2064,Requinte Hotel
612,Almenara,BR,85.78,light rain,-16.1836,-40.6944,Pousada Estância
613,Monrovia,LR,82.17,scattered clouds,6.3005,-10.7969,Sunset Inn
614,San-Pedro,CI,77.05,scattered clouds,4.7485,-6.6363,Hotel Maria
615,Lakatoro,VU,75.87,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
620,Languyan,PH,79.03,overcast clouds,5.2618,120.0807,
624,Basna,IN,78.64,light rain,21.2833,82.8167,Hotel Grand Alfa [BASNA]
625,Toda,JP,83.05,clear sky,35.8094,139.6925,Toyoko INN Saitamatoda Koen Ekinishiguchi
629,Pandan,PH,79.03,overcast clouds,14.0453,124.1694,Bonifacio Lodge
630,Griffith,US,82.15,scattered clouds,41.5284,-87.4237,Apartment above Depot Bar
632,Barra,BR,85.93,clear sky,-11.0894,-43.1417,Pousada Bahia
633,Vanimo,PG,76.68,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
635,Dullewala,PK,89.51,overcast clouds,31.8359,71.4362,Sajid fruit shop
636,Bow Island,CA,75.61,clear sky,49.8668,-111.3684,Silver Sage Motel
637,Zhanaozen,KZ,84.63,clear sky,43.3,52.8,K.korabay 28A
638,Monaragala,LK,76.33,overcast clouds,6.8714,81.3487,Silanrich Hotel
640,Cislau,RO,77.56,scattered clouds,45.25,26.3667,Motel 2D
642,Penzance,GB,70.77,broken clouds,50.1186,-5.5371,Artist Residence Penzance
643,Roma,US,77.72,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
644,Witu,KE,73.35,broken clouds,-2.3889,40.4382,
647,Portland,US,84.87,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
649,Glens Falls,US,79.11,overcast clouds,43.3095,-73.644,Super 8 by Wyndham Queensbury Glens Falls/Lake George Area
651,Praia Da Vitoria,PT,73.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
652,Colares,PT,87.1,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
653,Korla,CN,77.95,clear sky,41.7597,86.1469,Gulisitan Hotel
660,Siloam Springs,US,81.25,scattered clouds,36.1881,-94.5405,Cherokee Hotel & Casino West Siloam Springs
664,Wanning,CN,79.56,broken clouds,18.8003,110.3967,Paradise Hotel
666,Mwinilunga,ZM,70.81,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
667,Hildesheim,DE,80.15,light rain,52.1508,9.9511,Lindemann Hotel
670,Aden,YE,88.21,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
671,Besuki,ID,78.39,few clouds,-7.7338,113.6979,Pak Pri House
673,Natal,BR,86.22,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
674,Dobson,US,81.18,scattered clouds,36.3957,-80.7226,
676,Japura,ID,74.25,clear sky,-0.3167,102.35,Rumah mbah Jamah
677,Luba,GQ,76.48,light rain,3.4568,8.5547,
678,Dumai,ID,74.89,broken clouds,1.6833,101.45,Grand Zuri Dumai
679,Edea,CM,75.63,light rain,3.8,10.1333,Micotel Hotel
681,Doctor Arroyo,MX,75.42,scattered clouds,23.6667,-100.1833,Hotel Plaza
682,Esmeraldas,BR,86.11,scattered clouds,-19.7625,-44.3139,Forasteiro Pousada
683,Kawalu,ID,71.78,overcast clouds,-7.3817,108.2082,West Jontor
684,Navadwip,IN,89.4,moderate rain,23.4167,88.3667,Conch Building
